Jul 24 08:10:46.350 INFO: manager: 2.0.1
Jul 24 08:10:46.350 INFO: manager: Copyright (C) 2003-2022, Noriaki Ando and OpenRTM development team,
Jul 24 08:10:46.350 INFO: manager:   Intelligent Systems Research Institute, AIST,
Jul 24 08:10:46.351 INFO: manager: Copyright (C) 2022, Noriaki Ando and OpenRTM development team,
Jul 24 08:10:46.351 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Jul 24 08:10:46.351 INFO: manager:   All right reserved.
Jul 24 08:10:46.351 INFO: manager: Manager starting.
Jul 24 08:10:46.351 INFO: manager: Starting local logging.
Jul 24 08:10:46.383 INFO: NamingOnCorba: Endpoint for the CORBA naming service (localhost) is 127.0.0.1.
Jul 24 08:10:46.384 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Jul 24 08:10:46.402 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Jul 24 08:10:50.526 WARNING: ManagerServant: Master manager not found
Jul 24 08:10:50.528 INFO: LocalServiceAdmin: All the local services are enabled.
Jul 24 08:10:50.985 INFO: ec_base: setRate(1000000.000000) done
Jul 24 08:10:50.985 INFO: ec_base: setRate(1000.000000) done
Jul 24 08:10:50.986 INFO: RealSense_RGBD_Camera0: 1 execution context was created.
Jul 24 08:10:51.000 INFO: RealSense_RGBD_Camera0: Initial active configuration set is default.
Jul 24 08:11:05.260 INFO: ManagerServant: Master manager not found
Jul 24 08:11:15.311 INFO: ManagerServant: Master manager not found
Jul 24 08:11:25.395 INFO: ManagerServant: Master manager not found
Jul 24 08:11:35.463 INFO: ManagerServant: Master manager not found
Jul 24 08:11:45.902 INFO: ManagerServant: Master manager not found
Jul 24 08:11:55.629 INFO: ManagerServant: Master manager not found
Jul 24 08:12:05.707 INFO: ManagerServant: Master manager not found
Jul 24 08:12:15.791 INFO: ManagerServant: Master manager not found
Jul 24 08:12:25.866 INFO: ManagerServant: Master manager not found
Jul 24 08:12:35.953 INFO: ManagerServant: Master manager not found
Jul 24 08:12:46.019 INFO: ManagerServant: Master manager not found
Jul 24 08:12:56.063 INFO: ManagerServant: Master manager not found
Jul 24 08:13:06.143 INFO: ManagerServant: Master manager not found
Jul 24 08:13:16.224 INFO: ManagerServant: Master manager not found
Jul 24 08:13:26.318 INFO: ManagerServant: Master manager not found
Jul 24 08:13:36.379 INFO: ManagerServant: Master manager not found
Jul 24 08:13:46.494 INFO: ManagerServant: Master manager not found
Jul 24 08:13:56.483 INFO: ManagerServant: Master manager not found
Jul 24 08:14:06.567 INFO: ManagerServant: Master manager not found
Jul 24 08:14:16.595 INFO: ManagerServant: Master manager not found
