Jul 05 08:25:37.108 INFO: manager: 2.0.1
Jul 05 08:25:37.108 INFO: manager: Copyright (C) 2003-2022, Noriaki Ando and OpenRTM development team,
Jul 05 08:25:37.108 INFO: manager:   Intelligent Systems Research Institute, AIST,
Jul 05 08:25:37.108 INFO: manager: Copyright (C) 2022, Noriaki Ando and OpenRTM development team,
Jul 05 08:25:37.108 INFO: manager:   Industrial Cyber-Physical Research Center, AIST,
Jul 05 08:25:37.108 INFO: manager:   All right reserved.
Jul 05 08:25:37.108 INFO: manager: Manager starting.
Jul 05 08:25:37.108 INFO: manager: Starting local logging.
Jul 05 08:25:37.132 INFO: NamingOnCorba: Endpoint for the CORBA naming service (localhost) is 127.0.0.1.
Jul 05 08:25:37.132 INFO: NamingManager: NameServer connection succeeded: corba/localhost
Jul 05 08:25:37.133 INFO: ManagerServant: Named manager reference (INS) was successfully created.
Jul 05 08:25:41.210 WARNING: ManagerServant: Master manager not found
Jul 05 08:25:41.211 INFO: LocalServiceAdmin: All the local services are enabled.
Jul 05 08:25:41.212 INFO: ec_base: setRate(1000000.000000) done
Jul 05 08:25:41.212 INFO: ec_base: setRate(1000.000000) done
Jul 05 08:25:41.212 INFO: cal_inverse_kinematics0: 1 execution context was created.
Jul 05 08:25:41.213 INFO: cal_inverse_kinematics0: Initial active configuration set is default.
Jul 05 08:25:55.398 INFO: ManagerServant: Master manager not found
Jul 05 08:26:05.498 INFO: ManagerServant: Master manager not found
Jul 05 08:26:15.569 INFO: ManagerServant: Master manager not found
Jul 05 08:26:25.633 INFO: ManagerServant: Master manager not found
Jul 05 08:26:35.699 INFO: ManagerServant: Master manager not found
Jul 05 08:26:45.749 INFO: ManagerServant: Master manager not found
Jul 05 08:26:55.790 INFO: ManagerServant: Master manager not found
Jul 05 08:27:05.860 INFO: ManagerServant: Master manager not found
Jul 05 08:27:15.940 INFO: ManagerServant: Master manager not found
Jul 05 08:27:25.985 INFO: ManagerServant: Master manager not found
Jul 05 08:27:36.061 INFO: ManagerServant: Master manager not found
Jul 05 08:27:46.112 INFO: ManagerServant: Master manager not found
Jul 05 08:27:56.176 INFO: ManagerServant: Master manager not found
Jul 05 08:28:06.236 INFO: ManagerServant: Master manager not found
Jul 05 08:28:16.305 INFO: ManagerServant: Master manager not found
Jul 05 08:28:26.367 INFO: ManagerServant: Master manager not found
Jul 05 08:28:36.413 INFO: ManagerServant: Master manager not found
Jul 05 08:28:46.496 INFO: ManagerServant: Master manager not found
Jul 05 08:28:56.520 INFO: ManagerServant: Master manager not found
Jul 05 08:29:06.605 INFO: ManagerServant: Master manager not found
Jul 05 08:29:16.689 INFO: ManagerServant: Master manager not found
Jul 05 08:29:26.736 INFO: ManagerServant: Master manager not found
Jul 05 08:29:36.798 INFO: ManagerServant: Master manager not found
Jul 05 08:29:46.851 INFO: ManagerServant: Master manager not found
Jul 05 08:29:56.913 INFO: ManagerServant: Master manager not found
Jul 05 08:30:06.957 INFO: ManagerServant: Master manager not found
Jul 05 08:30:17.050 INFO: ManagerServant: Master manager not found
Jul 05 08:30:27.095 INFO: ManagerServant: Master manager not found
Jul 05 08:30:37.161 INFO: ManagerServant: Master manager not found
Jul 05 08:30:47.197 INFO: ManagerServant: Master manager not found
Jul 05 08:30:57.270 INFO: ManagerServant: Master manager not found
Jul 05 08:31:07.364 INFO: ManagerServant: Master manager not found
Jul 05 08:31:17.435 INFO: ManagerServant: Master manager not found
Jul 05 08:31:27.494 INFO: ManagerServant: Master manager not found
Jul 05 08:31:37.564 INFO: ManagerServant: Master manager not found
Jul 05 08:31:47.638 INFO: ManagerServant: Master manager not found
Jul 05 08:31:57.701 INFO: ManagerServant: Master manager not found
Jul 05 08:32:07.779 INFO: ManagerServant: Master manager not found
Jul 05 08:32:17.865 INFO: ManagerServant: Master manager not found
Jul 05 08:32:27.953 INFO: ManagerServant: Master manager not found
Jul 05 08:32:38.004 INFO: ManagerServant: Master manager not found
Jul 05 08:32:48.039 INFO: ManagerServant: Master manager not found
Jul 05 08:32:58.120 INFO: ManagerServant: Master manager not found
Jul 05 08:33:08.199 INFO: ManagerServant: Master manager not found
Jul 05 08:33:18.273 INFO: ManagerServant: Master manager not found
Jul 05 08:33:28.318 INFO: ManagerServant: Master manager not found
Jul 05 08:33:38.387 INFO: ManagerServant: Master manager not found
Jul 05 08:33:48.458 INFO: ManagerServant: Master manager not found
Jul 05 08:33:58.536 INFO: ManagerServant: Master manager not found
Jul 05 08:34:08.598 INFO: ManagerServant: Master manager not found
Jul 05 08:34:18.678 INFO: ManagerServant: Master manager not found
Jul 05 08:34:28.749 INFO: ManagerServant: Master manager not found
Jul 05 08:34:38.778 INFO: ManagerServant: Master manager not found
Jul 05 08:34:48.805 INFO: ManagerServant: Master manager not found
Jul 05 08:34:58.912 INFO: ManagerServant: Master manager not found
Jul 05 08:35:08.968 INFO: ManagerServant: Master manager not found
Jul 05 08:35:19.086 INFO: ManagerServant: Master manager not found
Jul 05 08:35:29.063 INFO: ManagerServant: Master manager not found
Jul 05 08:35:39.155 INFO: ManagerServant: Master manager not found
Jul 05 08:35:49.241 INFO: ManagerServant: Master manager not found
Jul 05 08:35:59.305 INFO: ManagerServant: Master manager not found
Jul 05 08:36:09.379 INFO: ManagerServant: Master manager not found
Jul 05 08:36:19.493 INFO: ManagerServant: Master manager not found
Jul 05 08:36:29.558 INFO: ManagerServant: Master manager not found
Jul 05 08:36:39.662 INFO: ManagerServant: Master manager not found
Jul 05 08:36:49.739 INFO: ManagerServant: Master manager not found
